values,type,l0,l1,l2,l3
"['172.16.15.1', '172.16.15.2', '172.16.15.6', '172.16.15.10', '172.16.15.11', '172.16.15.12', '172.16.15.13', '172.16.15.14', '172.16.15.15', '172.16.15.16', '172.16.15.17', '172.16.15.18', '172.16.15.20', '172.16.15.21', '172.16.15.50', '172.16.15.100', '172.16.15.101', '172.16.15.102', '172.16.15.103', '172.16.15.104', '172.16.15.105', '172.16.15.106', '172.16.15.199']",address,Context-Specific,,,
"['Anstruther, Fife, KY10 Full Address', 'Grangemouth, Stirlingshire, FK3 Full Address', 'Laurencekirk, Kincardineshire, AB30 Full Address', 'Stratford-Upon-Avon, Warwickshire, CV37 Full Address', 'Kilmarnock, Ayrshire, KA1 Full Address', 'Greenford, Middlesex, UB6 Full Address', 'Greenock, Renfrewshire, PA15 Full Address', 'Glasgow, Glasgow, G67 Full Address', 'Dunfermline, Fife, KY12 Full Address', 'Bridge Of Weir, Renfrewshire, PA11 Full Address', 'Hyde, Cheshire, SK14 Full Address', 'Alexandria, Dunbartonshire, G83 Full Address', 'Baldock, Hertfordshire, SG7 Full Address', 'Glasgow, Glasgow, G77 Full Address', 'Alexandria, Dunbartonshire, G83 Full Address', 'Wolverhampton, West Midlands, WV11 Full Address', 'Dundee, Angus, DD2 Full Address', 'Glasgow, Glasgow, G73 Full Address', 'Richmond, Surrey, TW10 Full Address', 'Arbroath, Angus, DD11 Full Address', 'Greenock, Renfrewshire, PA16 Full Address', 'Glasgow, Glasgow, G72 Full Address', 'Glasgow, Glasgow, G31 Full Address', 'Prestwick, Ayrshire, KA9 Full Address', 'Leek, Staffordshire, ST13 Full Address']",address,,,,
"['TOKYO', 'TOKYO']",address,,,,
"['220 Goodale Avenue E #A', '4893 Clyde Park SW', '22250 Providence Dr # 406', '21400 Kelly Rd', '330 E Beltline Ave NE', '330 E Beltline Ave NE', '3615 Genesys Parkway', '22201 Moross Road Suite 150', '21400 Kelly Road', 'CFP 505 Henry Ford Hospital. 2799 West Grand BlVD', 'G3283 Beecher Rd', '3535 W 13 Mile Rd # 247', '5333 McAuley Dr. Suite 4003', '26225 Greenfield Ave', '4062 West Royal Dr', '5333 McAuley Dr. Suite 4003', '4062 West Royal Dr', '15918 19 Mile Rd', '18100 Oakwood Blvd. Suite 207', '4600 Investment Drive Suite 290']",address,,,,
"['3790 Dougall Ave Windsor, ON N8W 1C7 519-254-2585 View business details', '895 Ouellette Ave Windsor, ON N9A 4J5 226-400-1353', '895 Ouellette Ave Windsor, ON N9A 4J5 519-254-3223', '895 Ouellette Ave Windsor, ON N9A 4J5 519-800-0855', '1139 Ouellette Ave Windsor, ON N9A 4K1 519-253-5225 View business details', '1139 Ouellette Ave Windsor, ON N9A 4K1 226-782-0151 View business details', '1139 Ouellette Ave Windsor, ON N9A 4K1 519-258-9634', '68 Giles Blvd E Windsor, ON N9A 4B7 519-254-8633 View business details', '68 Giles Blvd E Windsor, ON N9A 4B7 226-782-0153 View business details', '1969 Wyandotte St E Windsor, ON N8Y 1E5 519-252-5711', '1969 Wyandotte St E Windsor, ON N8Y 1E5 519-800-0845', '1700 Tecumseh Rd E Windsor, ON N8W 1C7 519-253-7234 View business details', '3681 Tecumseh Rd E Windsor, ON N8W 1H8 226-773-0695 View business details', '3260 Dougall Ave Windsor, ON N9E 1S6 519-969-5841 View business details', '3790 Dougall Ave Windsor, ON N8W 1C7 519-254-2585 View business details', '1155 Lauzon Rd Windsor, ON N8S 3M9 226-315-1579 View business details', '1447 Aspenshore Ave Windsor, ON N8P 1Y4 519-979-9145', '1185 Hwy 3 Oldcastle, ON N0R 1L0 519-969-6340 View business details', '1525 Hwy 3 Oldcastle, ON N0R 1L0 226-783-0493 View business details', 'Highway 3 Oldcastle, ON N0R 1L0 519-969-5320 View business details', '12105 Tecumseh Rd E Temcuseh, ON N8N 1M2 519-735-2830 View business details', '12105 Tecumseh Rd E Windsor, ON N8N 1M2 226-782-0152 View business details', '12308 Tecumseh Rd E Windsor, ON N8N 1M4 519-735-2148 View business details', '128 Talbot St N Essex, ON N8M 2C4 519-776-7378 View business details', '401 Sandwich St S Amherstburg, ON N9V 3K8 226-782-0150 View business details', '401 Sandwich St S Amherstburg, ON N9V 3K8 519-736-2134 View business details', '572 Notre Dame Belle River Belle River, ON N0R 1A0 226-773-0970 View business details', '572 Notre Dame Belle River Belle River, ON N0R 1A0 519-728-1500 View business details', '197 King W Harrow, ON N0R 1G0 519-738-6662 View business details', '91 Division St S Kingsville, ON N9Y 1P5 519-733-4111 View business details', '8 Aberdeen Merlin, ON N0P 1W0 519-689-4261 View business details', '5657 Comber SideRoad Comber, ON N0P 1J0 519-687-2128', '1525 Hwy 3 Windsor, ON 519-969-3939 View business details', '', 'Multiple locationsView addresses View business details', 'Multiple locationsView addresses View business details']",address,,,,
"['184 New York Ave', '182 New York Ave', '190 New York Ave', '196 New York Ave', '200 New York Ave', '170 New York Ave', '202 New York Ave', '204 New York Ave', '218 New York Ave', '152-164 New York Ave']",address,,,,
"['358 Main Street', '104 West Street', 'Forest Road PO Box 400', '350 Old Homestead Hwy', 'PO Box 3', '51 Bixby Street', '199 Upland Farm Road', '20 Upper Troy Road', '191 Putney Road, Rt. 5', '5 Harkness Road', 'Prospect Hill Road', '184 Union Street', '204 East Road RFD #1', 'East Surry Road', '30 Cobb Road', 'Route 30 PO Box 1108', '6 Bennington Battle', '235 Windsor Road', '50 Village Road', '355 Main Street', '29 Pine Street', '8 Oxbow Road', '271 Route 12a', 'Park Ave', '152 Pine Street', 'West Swanzey PO Box 545', '39 Ridgecrest Road', 'Sandy Pond Rd.', '100 Athol Road', '117 Woodbound Rd.', '331 Keene Road', '55 Fitzwilliam Road', '24 Longview Road', 'Route 12 Box 132', 'RR1 Box 441', '401 Winchester Street', '740 2nd New Hampshire Tnpk N', '30 Main Street', '175 Key Road', '850 Marlboro Rd.', '3 Ashbrook Rd.', '402 Old Claremont Road', '20 Riverside Drive', '80 Concord Street', 'Putney Road', '515 Canal Street', '45 South Shore Road', 'Route 9', '7 Butler Road', '379 West Street', '1378 Putney Road', '100 Chickering Drive', '50 Main Street', '1254 Putney Road', '1043 Putney Road', '75 Railroad Street', '959 Putney Road, Rt. 5', '838 Route 12', '67 Main St.', 'Route 45 Town Center', '755 Monadnock Highway', '534 Mountain Road', 'PO Box 181 Depot Road', '633 Wentworth Road', 'Walpole (total rooms 18 within 3 lodges)', '755 Monadnock Highway', '797 Chesham Road', '379 Main Street', 'Route 124 E', 'Miltimore Road', '297 Main Street', '62 Woodbound Road', '20 Cross Rd.', '27 Main Street', '460 Monadnock Street', '33 Main Street']",address,,,,
"['2, Selkirk Road', '2, Selkirk Road', '2, Selkirk Road', '3, Selkirk Road', '4, Selkirk Road', '4, Selkirk Road', '5, Selkirk Road', '5, Selkirk Road', '6, Selkirk Road', '8, Selkirk Road']",address,,,,
"['Suite 1 2414 Northgate Dr', '30071 Business Ctr Dr', '6110 Allentown Road']",address,,,,
"['London, London, NW10 Full Address', 'London, London, NW10 Full Address']",address,,,,
